# name, avg., V1, V2, V4, IT, ITTemp, Behavior, Imagenet
mobilenet_v1_0.25_128,.254,.214,.275,.521,.193,nan,.322,.415
mobilenet_v2_0.5_96,.315,.209,.279,.526,.506,nan,.373,.512
inception_v2,.304,.193,.268,.490,.359,nan,.513,.739
mobilenet_v2_0.35_160,.333,.208,.276,.544,.527,nan,.440,.557
pnasnet_large,.340,.202,.234,.591,.513,nan,.499,.829
mobilenet_v2_0.75_192,.313,.203,.274,.572,.301,nan,.526,.687
resnet-50_v2,.363,.229,.283,.609,.504,nan,.553,.756
mobilenet_v1_0.5_224,.346,.208,.275,.578,.540,nan,.476,.633
mobilenet_v1_0.75_192,.357,.218,.297,.574,.550,nan,.502,.672
mobilenet_v2_0.75_96,.285,.198,.286,.548,.218,nan,.459,.588
CORnet-Z,.291,.142,.219,.589,.444,nan,.356,.470
resnet-50_v1,.364,.208,.279,.611,.558,nan,.526,.752
mobilenet_v1_0.75_160,.339,.222,.280,.557,.528,nan,.447,.653
mobilenet_v2_1.0_96,.290,.200,.298,.548,.257,nan,.437,.603
resnet-34,.344,.195,.266,.577,.479,nan,.546,.733
mobilenet_v1_0.5_192,.344,.211,.287,.559,.541,nan,.465,.617
mobilenet_v2_0.75_128,.301,.215,.283,.583,.251,nan,.470,.632
bagnet17,.307,.209,.240,.587,.450,nan,.359,.460
vgg-16,.342,.177,.274,.627,.513,nan,.461,.715
mobilenet_v2_1.4_224,.312,.198,.273,.555,.342,nan,.506,.750
mobilenet_v1_0.25_160,.261,.202,.258,.490,.274,nan,.341,.455
nasnet_large,.341,.197,.229,.604,.529,nan,.489,.827
mobilenet_v2_0.35_128,.311,.197,.266,.549,.491,nan,.364,.508
mobilenet_v1_1.0_160,.351,.211,.289,.591,.538,nan,.475,.680
bagnet33,.328,.192,.233,.609,.471,nan,.462,.590
mobilenet_v2_0.5_224,.345,.216,.256,.578,.531,nan,.488,.654
alexnet,.324,.213,.255,.582,.526,nan,.370,.577
squeezenet1_0,.291,.192,.228,.609,.454,nan,.263,.575
mobilenet_v1_1.0_224,.359,.205,.285,.594,.567,nan,.505,.709
mobilenet_v1_0.75_224,.355,.209,.273,.593,.553,nan,.502,.684
resnet-101_v1,.365,.207,.274,.600,.545,nan,.561,.764
densenet-169,.365,.198,.288,.618,.542,nan,.543,.759
mobilenet_v1_1.0_128,.345,.200,.301,.569,.529,nan,.471,.652
mobilenet_v2_0.75_160,.303,.195,.254,.573,.317,nan,.480,.664
mobilenet_v2_0.5_160,.340,.212,.267,.570,.536,nan,.456,.610
squeezenet1_1,.309,.221,.279,.599,.460,nan,.291,.575
resnet-152_v1,.363,.211,.278,.607,.548,nan,.533,.768
mobilenet_v2_1.0_224,.316,.196,.278,.582,.328,nan,.509,.718
mobilenet_v2_0.75_224,.317,.210,.275,.592,.276,nan,.547,.698
inception_v3,.351,.196,.280,.614,.533,nan,.481,.780
mobilenet_v2_0.5_128,.334,.196,.272,.577,.530,nan,.429,.577
mobilenet_v2_0.35_96,.304,.190,.276,.543,.473,nan,.344,.455
mobilenet_v1_1.0_192,.355,.216,.286,.588,.561,nan,.476,.700
CORnet-S,.397,.184,.191,.611,.533,.316,.545,.747
resnet-18,.350,.216,.266,.574,.519,nan,.524,.698
vggface,.232,.178,.225,.566,.346,nan,.078,
mobilenet_v2_1.0_128,.303,.216,.281,.577,.270,nan,.474,.653
mobilenet_v2_0.35_224,.329,.197,.239,.570,.500,nan,.466,.603
nasnet_mobile,.323,.194,.251,.591,.522,nan,.382,.740
mobilenet_v2_1.3_224,.309,.218,.269,.528,.327,nan,.511,.744
densenet-121,.359,.199,.271,.604,.544,nan,.535,.745
mobilenet_v2_0.5_192,.342,.203,.261,.575,.528,nan,.483,.639
mobilenet_v2_1.0_192,.316,.199,.276,.580,.315,nan,.526,.707
mobilenet_v2_1.0_160,.314,.199,.281,.550,.360,nan,.495,.688
vgg-19,.342,.183,.266,.619,.491,nan,.494,.711
inception_resnet_v2,.281,.178,.215,.563,.227,nan,.502,.804
mobilenet_v1_0.5_160,.337,.216,.277,.574,.521,nan,.434,.591
xception,.344,.185,.258,.619,.494,nan,.505,.790
inception_v4,.328,.158,.204,.576,.497,nan,.534,.802
mobilenet_v2_0.35_192,.328,.213,.251,.562,.523,nan,.417,.582
bagnet9,.277,.166,.218,.568,.404,nan,.307,.260
mobilenet_v1_0.5_128,.284,.214,.292,.552,.270,nan,.380,.563
densenet-201,.363,.206,.284,.604,.544,nan,.537,.772
inception_v1,.303,.189,.283,.505,.316,nan,.524,.698
mobilenet_v1_0.75_128,.342,.198,.289,.585,.534,nan,.446,.621
resnet-152_v2,.358,.209,.277,.606,.516,nan,.540,.778
mobilenet_v1_0.25_192,.271,.203,.266,.554,.244,nan,.362,.477
resnet-101_v2,.362,.217,.278,.615,.508,nan,.555,.774
mobilenet_v1_0.25_224,.314,.217,.235,.562,.517,nan,.352,.498
